TELERIDE_NUMBER,STOP_NAME,STATUS,CREATE_DT_UTC,MOD_DT_UTC,GLOBALID,POINT
5428,EB 58 AV @ W. of Chinook Centre,ACTIVE,2024/09/29,2024/09/29,005b0731-6213-45b8-9cdb-528e08026da1,POINT (-114.078049 51.0012945)
4737,NB Shawville BV @ Shawville GA SE,ACTIVE,2024/09/29,2024/09/29,2fd39a90-1b9c-4461-89dd-8922da637c0f,POINT (-114.0633929 50.8999397)
9325,SB Lake Fraser DR @ N. of Lake Fraser GA SE,ACTIVE,2024/09/29,2024/09/29,6e5f715d-c3f7-4ef9-9280-8c482e75ba0d,POINT (-114.0678108 50.9405285)
9292,EB Taravista DR @ Taracove Estate DR NE,ACTIVE,2024/09/29,2024/09/29,0c835996-654a-4e21-b8f4-0f2da8247575,POINT (-113.9399998 51.1212807)
2272,WB Skyview Ranch RD @ Skyview Ranch BV NE,ACTIVE,2024/09/29,2024/09/29,0ed93768-b5fe-47ba-9be4-0e63609b7ce1,POINT (-113.9517448 51.1629619)
8635,SB Centre ST N @ N. of Beddington BV N,ACTIVE,2024/09/29,2024/09/29,a4c0b1dd-9f76-43b6-b74e-a1a28f762c51,POINT (-114.0716323 51.1264214)
2257,WB  Redstone DR @  Redstone ST NE,ACTIVE,2024/09/29,2024/09/29,bd452467-42b0-4a8c-90cf-1eacea51cf93,POINT (-113.9628909 51.1684593)
2336,SB 68 ST NE @ 8 AV NE,ACTIVE,2024/09/29,2024/09/29,00ab938b-be79-4a32-9c79-faf220f4fdb6,POINT (-113.9354085 51.0592976)
8006,SB Nose Hill DR @ Crowfoot WY NW,ACTIVE,2024/09/29,2024/09/29,232ecd99-7fa3-4437-9380-bf99eb1ef7e0,POINT (-114.1990018 51.1237774)
5239,EB Northmount DR @ Charleswood DR NW,ACTIVE,2024/09/29,2024/09/29,ff4d9991-dbf3-4d03-8d9d-a1573c22214d,POINT (-114.1166939 51.0890463)
3738,NB 45 Street West LRT Station,ACTIVE,2024/09/29,2024/09/29,3ffb7f24-7693-495f-aa35-300a1c8ba4ea,POINT (-114.152665 51.0382268)
5968,NB Lake Sylvan DR @ N. of Lake Michigan CR SE,ACTIVE,2024/09/29,2024/09/29,f1f230ab-a73b-48db-bc25-8934b7d474fd,POINT (-114.0289735 50.9447543)
5306,EB 5 AV S @ Centre ST S,INACTIVE,2024/09/29,2024/09/29,43439bd8-28d8-466b-8b71-83ba06917f0c,POINT (-114.0623905 51.0482868)
4154,NB @ Barlow TR NE,INACTIVE,2024/09/29,2024/09/29,cc6c552c-87e9-4843-957e-248cadab1852,POINT (-114.0003796 51.1331159)
4982,EB Martin Crossing DR @ Martin Crossing GR NE,ACTIVE,2024/09/29,2024/09/29,4518bfc5-79ca-430a-875b-79d90cb0c507,POINT (-113.958546 51.1177145)
3902,WB 114 AV SE (WBay) @ 29 ST SE,ACTIVE,2024/09/29,2024/09/29,0c514cc6-d554-4e2a-b992-f2a4e7258f8c,POINT (-113.9972112 50.9522338)
5294,NB 1 ST SW @ 12 AV SW,INACTIVE,2024/09/29,2024/09/29,97270b9d-3c47-4d6b-9b42-55546aff77fb,POINT (-114.0656512 51.0418564)
